Milliseconds since Epoch,Speed,Watt,Ampere,Altitude,GPS Speed,ECS Temperature,Battery Percentage,Battery Voltage,Battery Capacity,Battery Temperature,Remaining Mileage,Total Mileage,Latitude,Longitude
1631540000000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540001000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540002000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540003000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540004000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540005000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540006000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540007000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540008000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540009000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540010000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540011000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540012000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540013000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540014000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540015000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540016000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540017000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540018000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540019000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540020000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540021000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540022000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540023000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540024000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540025000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540026000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540027000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540028000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540029000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540030000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540031000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540032000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540033000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540034000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540035000.00,0,0,0,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540036000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540037000.00,0,0.4,0.01,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540038000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540039000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540040000.00,0,0.8,0.02,0,0,31,98,40,11417,32,44.1,40.225,0,0
1631540041000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540042000.00,0,0.7998,0.02,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540043000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540044000.00,0,0,0,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540045000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540046000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540047000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540048000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540049000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
1631540050000.00,0,0.3999,0.01,0,0,31,98,39.99,11417,32,44.1,40.225,0,0
