Datetime,COMED_MW,Operational_Costs
2011-01-01,241162.0,24116200.0
2011-01-02,270137.0,27013700.0
2011-01-03,290823.0,29082300.0
2011-01-04,299994.0,29999400.0
2011-01-05,308524.0,30852400.0
2011-01-06,301734.0,30173400.0
2011-01-07,307917.0,30791700.0
2011-01-08,289635.0,28963500.0
2011-01-09,271891.0,27189100.0
2011-01-10,297560.0,29756000.0
2011-01-11,302818.0,30281800.0
2011-01-12,303446.0,30344600.0
2011-01-13,303916.0,30391600.0
2011-01-14,302273.0,30227300.0
2011-01-15,279124.0,27912400.0
2011-01-16,271977.0,27197700.0
2011-01-17,298047.0,29804700.0
2011-01-18,298277.0,29827700.0
2011-01-19,303556.0,30355600.0
2011-01-20,311622.0,31162200.0
2011-01-21,324829.0,32482900.0
2011-01-22,299543.0,29954300.0
2011-01-23,283849.0,28384900.0
2011-01-24,308376.0,30837600.0
2011-01-25,301864.0,30186400.0
2011-01-26,301460.0,30146000.0
2011-01-27,306994.0,30699400.0
2011-01-28,295670.0,29567000.0
2011-01-29,268896.0,26889600.0
2011-01-30,257167.0,25716700.0
2011-01-31,300177.0,30017700.0
2011-02-01,307627.0,30762700.0
2011-02-02,271520.0,27152000.0
2011-02-03,306930.0,30693000.0
2011-02-04,311765.0,31176500.0
2011-02-05,281454.0,28145400.0
2011-02-06,262084.0,26208400.0
2011-02-07,290474.0,29047400.0
2011-02-08,308816.0,30881600.0
2011-02-09,323891.0,32389100.0
2011-02-10,326720.0,32672000.0
2011-02-11,314987.0,31498700.0
2011-02-12,270415.0,27041500.0
2011-02-13,246861.0,24686100.0
2011-02-14,275969.0,27596900.0
2011-02-15,286313.0,28631300.0
2011-02-16,273812.0,27381200.0
2011-02-17,268555.0,26855500.0
2011-02-18,265495.0,26549500.0
2011-02-19,253432.0,25343200.0
2011-02-20,254359.0,25435900.0
2011-02-21,286260.0,28626000.0
2011-02-22,294488.0,29448800.0
2011-02-23,293822.0,29382200.0
2011-02-24,287303.0,28730300.0
2011-02-25,283509.0,28350900.0
2011-02-26,265292.0,26529200.0
2011-02-27,249027.0,24902700.0
2011-02-28,282003.0,28200300.0
2011-03-01,282752.0,28275200.0
2011-03-02,281872.0,28187200.0
2011-03-03,285084.0,28508400.0
2011-03-04,272963.0,27296300.0
2011-03-05,262642.0,26264200.0
2011-03-06,249949.0,24994900.0
2011-03-07,282198.0,28219800.0
2011-03-08,277644.0,27764400.0
2011-03-09,277523.0,27752300.0
2011-03-10,283816.0,28381600.0
2011-03-11,273114.0,27311400.0
2011-03-12,252186.0,25218600.0
2011-03-13,230797.0,23079700.0
2011-03-14,270340.0,27034000.0
2011-03-15,277445.0,27744500.0
2011-03-16,265083.0,26508300.0
2011-03-17,258920.0,25892000.0
2011-03-18,249609.0,24960900.0
2011-03-19,232013.0,23201300.0
2011-03-20,226823.0,22682300.0
2011-03-21,250274.0,25027400.0
2011-03-22,269164.0,26916400.0
2011-03-23,272108.0,27210800.0
2011-03-24,275642.0,27564200.0
2011-03-25,273028.0,27302800.0
2011-03-26,254942.0,25494200.0
2011-03-27,239085.0,23908500.0
2011-03-28,270382.0,27038200.0
2011-03-29,269424.0,26942400.0
2011-03-30,264849.0,26484900.0
2011-03-31,262740.0,26274000.0
2011-04-01,264525.0,26452500.0
2011-04-02,233468.0,23346800.0
2011-04-03,221438.0,22143800.0
2011-04-04,250737.0,25073700.0
2011-04-05,257985.0,25798500.0
2011-04-06,255736.0,25573600.0
2011-04-07,258660.0,25866000.0
2011-04-08,261059.0,26105900.0
2011-04-09,228488.0,22848800.0
2011-04-10,223472.0,22347200.0
2011-04-11,247846.0,24784600.0
2011-04-12,246641.0,24664100.0
2011-04-13,249651.0,24965100.0
2011-04-14,249235.0,24923500.0
2011-04-15,258408.0,25840800.0
2011-04-16,235388.0,23538800.0
2011-04-17,220801.0,22080100.0
2011-04-18,258945.0,25894500.0
2011-04-19,275898.0,27589800.0
2011-04-20,269267.0,26926700.0
2011-04-21,257184.0,25718400.0
2011-04-22,247672.0,24767200.0
2011-04-23,216006.0,21600600.0
2011-04-24,199631.0,19963100.0
2011-04-25,244587.0,24458700.0
2011-04-26,254218.0,25421800.0
2011-04-27,251414.0,25141400.0
2011-04-28,255569.0,25556900.0
2011-04-29,248544.0,24854400.0
2011-04-30,222898.0,22289800.0
2011-05-01,206846.0,20684600.0
2011-05-02,240216.0,24021600.0
2011-05-03,251243.0,25124300.0
2011-05-04,250651.0,25065100.0
2011-05-05,249345.0,24934500.0
2011-05-06,244469.0,24446900.0
2011-05-07,218069.0,21806900.0
2011-05-08,204574.0,20457400.0
2011-05-09,242049.0,24204900.0
2011-05-10,276216.0,27621600.0
2011-05-11,317548.0,31754800.0
2011-05-12,308843.0,30884300.0
2011-05-13,276125.0,27612500.0
2011-05-14,222865.0,22286500.0
2011-05-15,215209.0,21520900.0
2011-05-16,245885.0,24588500.0
2011-05-17,248747.0,24874700.0
2011-05-18,248217.0,24821700.0
2011-05-19,252972.0,25297200.0
2011-05-20,256981.0,25698100.0
2011-05-21,231908.0,23190800.0
2011-05-22,238853.0,23885300.0
2011-05-23,278756.0,27875600.0
2011-05-24,260858.0,26085800.0
2011-05-25,255638.0,25563800.0
2011-05-26,253627.0,25362700.0
2011-05-27,245871.0,24587100.0
2011-05-28,217890.0,21789000.0
